density_gap,density_name,target_slice,lower_ref_slice,upper_ref_slice,target_z,z0,z1,tau,ref_z_gap,n_spots,n_genes,random_seed,n_label_support_records,label_support_labels,mean_corr,var_corr,moran_corr,zero_ks,median_gene_pearson,median_gene_spearman,generated_h5ad,per_gene_metrics_csv,per_class_metrics_csv,z_regularized
3,dense_gap3,5,4,6,0.1,3e-06,0.2,0.49999249988749833,0.199997,12097,1122,32026,1,['07 CTX-MGE GABA'],0.995360969573355,0.9642673090949933,0.719582840598379,0.11764705882352941,0.1071659978533023,0.10419273319928593,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,8,7,9,0.4,0.3,0.5,0.5000000000000001,0.2,14975,1122,32027,1,['07 CTX-MGE GABA'],0.9714902682843362,0.9758612459228724,0.7638551286372264,0.23796791443850268,0.0866632504855499,0.08310527782811836,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,11,10,12,0.6198209509757062,0.5500556044761904,0.6897375872699724,0.4994584491438181,0.13968198279378197,7644,1122,32028,4,"['15 HY Gnrh1 Glut', '19 MB Glut', '20 MB GABA', '24 MY Glut']",0.9860494439847395,0.9592240251706005,0.7554441263443725,0.0784313725490196,0.09375755004653086,0.09003664482085583,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,14,13,15,0.8315371239389605,0.7604716922215675,0.9033254006207104,0.497469981800062,0.1428537083991429,11137,1122,32029,3,"['07 CTX-MGE GABA', '15 HY Gnrh1 Glut', '29 CB Glut']",0.9958260421627356,0.9911616562360147,0.7637100411158364,0.13101604278074866,0.1238257030563711,0.11205805059048493,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,17,16,18,1.048082473034429,0.9752523511274424,1.123059182350833,0.49273853788877614,0.14780683122339056,8524,1122,32030,2,"['18 TH Glut', '19 MB Glut']",0.9773562754255952,0.9107698200540734,0.7442670062736085,0.05169340463458111,0.08607780541477983,0.08348363962219406,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,20,19,21,1.267426870587095,1.1939270818830527,1.3389267592772198,0.506896222287726,0.14499967739416708,11869,1122,32031,0,[],0.9828194551604754,0.9826332617929575,0.7570833172861807,0.2103386809269162,0.09120772220532067,0.09198982331610545,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,23,22,24,1.5048299989751572,1.4091907151038114,1.707816826146629,0.3202643048773214,0.29862611104281767,8844,1122,32032,1,['01 IT-ET Glut'],0.9933951596258123,0.9852808459494122,0.759207702520801,0.054367201426024955,0.11073313240215493,0.1042571165221465,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,26,25,27,1.970855827266864,1.9149952865346305,2.0264354305878607,0.5012604856787627,0.11144014405323022,9135,1122,32033,1,['04 DG-IMN Glut'],0.9939336009578117,0.9790663147412335,0.7674034166848652,0.13725490196078433,0.1474280332969159,0.1389492823167773,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,29,28,30,2.13729412231904,2.081742319234639,2.190642019794887,0.5101189700119276,0.10889970056024811,8129,1122,32034,0,[],0.9617663173217746,0.9719021575608663,0.7722215161422122,0.13636363636363635,0.1856035893724887,0.16912532702521216,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,32,31,33,2.348386946229994,2.2700640329181714,2.4532944124366995,0.427455935623943,0.18323037951852816,9731,1122,32035,0,[],0.9881437069086424,0.955021598991313,0.8194205159850979,0.14171122994652408,0.15537118871143013,0.14580554426623615,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,35,34,36,2.6581191686244674,2.55630379388176,2.760884455979676,0.49767839100049743,0.20458066209791603,10401,1122,32036,2,"['04 DG-IMN Glut', '24 MY Glut']",0.9917490341821642,0.9792219456729013,0.7718733020581947,0.1265597147950089,0.1885026975270716,0.16543450219074704,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,38,37,39,2.9657694261931926,2.8631713166485944,3.066981204342971,0.5034010405738965,0.2038098876943768,11621,1122,32037,2,"['12 HY GABA', '28 CB GABA']",0.9508635452512448,0.9250242220945952,0.8125088228013189,0.2985739750445633,0.1368741803743829,0.12486252782369614,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,41,40,42,3.294805636610366,3.193063285415768,3.3940286706516205,0.5062680375289179,0.2009653852358526,12473,1122,32038,2,"['04 DG-IMN Glut', '32 OEC']",0.9625174338949161,0.8914103264709039,0.7084384274247543,0.0374331550802139,0.17571949334605094,0.1499175056090016,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,44,43,45,3.59143993666362,3.517083139408244,3.6877266438416254,0.4357434963743635,0.1706435044333814,17587,1122,32039,0,[],0.9699593583575826,0.8813789810149739,0.7926027247476608,0.1746880570409982,0.14421894606193905,0.13297941942273647,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,47,46,48,3.882708780757101,3.7842382240187393,3.978963795417818,0.5056888832363562,0.19472557139907876,20888,1122,32040,0,[],0.983285202645657,0.9787092391671395,0.8160272615816226,0.13101604278074866,0.19878388487708976,0.17011267677677233,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,50,49,51,4.177422050348054,4.078073091828791,4.276677295245734,0.500235930609651,0.1986042034169433,24075,1122,32041,1,['23 P Glut'],0.9868439037744865,0.9751956237203969,0.8278939968628872,0.23885918003565063,0.18851571262093025,0.15913565458390927,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,53,52,54,4.479026015191546,4.376456679398951,4.58238847063646,0.49807431468557195,0.20593179123750893,24776,1122,32042,1,['29 CB Glut'],0.9832732334228625,0.9812332674332391,0.8029687668227713,0.09803921568627451,0.19060649334921412,0.16384321338237662,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
3,dense_gap3,56,55,57,4.791846418988289,4.688047595093155,4.899231187131105,0.4915098890660085,0.21118359203794945,22963,1122,32043,1,['22 MB-HB Sero'],0.9805773010006847,0.9788130070908725,0.7962032887327404,0.23618538324420676,0.16472164796121888,0.13855323887388915,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
