density_gap,density_name,target_slice,lower_ref_slice,upper_ref_slice,target_z,z0,z1,tau,ref_z_gap,n_spots,n_genes,random_seed,n_label_support_records,label_support_labels,mean_corr,var_corr,moran_corr,zero_ks,median_gene_pearson,median_gene_spearman,generated_h5ad,per_gene_metrics_csv,per_class_metrics_csv,z_regularized
5,medium_gap5,6,4,8,0.2,3e-06,0.4,0.49999624997187475,0.39999700000000005,10442,1122,52026,0,[],0.991130184965885,0.9776110881961348,0.6689558817186089,0.057932263814616754,0.10883771908301765,0.10911701906088453,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,11,9,13,0.6198209509757062,0.5,0.7604716922215675,0.4600152513839461,0.2604716922215675,7644,1122,52027,1,['20 MB GABA'],0.9804770862374198,0.9712858554327012,0.7741443107179085,0.1408199643493761,0.07346018700760756,0.06932599548445939,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,16,14,18,0.9752523511274424,0.8315371239389605,1.123059182350833,0.49298234230164506,0.2915220584118724,9580,1122,52028,0,[],0.9653071344606713,0.9219273682154079,0.7387425688693313,0.04723707664884135,0.0984912208409213,0.10180211426822819,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,21,19,23,1.3389267592772198,1.1939270818830527,1.5048299989751572,0.4663824924846593,0.3109029170921045,11309,1122,52029,5,"['08 CNU-MGE GABA', '15 HY Gnrh1 Glut', '19 MB Glut', '24 MY Glut', '29 CB Glut']",0.9743427354191075,0.9718462872781264,0.7781208681637173,0.1746880570409982,0.08572107896601572,0.08437400513525059,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,26,24,28,1.970855827266864,1.707816826146629,2.081742319234639,0.7034529765487908,0.3739254930880098,9135,1122,52030,1,['14 HY Glut'],0.9884190627617716,0.9713476520560094,0.7607045126475782,0.045454545454545456,0.1390490069365381,0.1404246574392759,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,31,29,33,2.2700640329181714,2.13729412231904,2.4532944124366995,0.42015755918988495,0.3160002901176595,10732,1122,52031,1,['14 HY Glut'],0.9718827335445281,0.9254501664235102,0.8333317262693102,0.1746880570409982,0.15034161238719765,0.14114262048434204,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,36,34,38,2.760884455979676,2.55630379388176,2.9657694261931926,0.4996284082330883,0.4094656323114325,9533,1122,52032,1,['15 HY Gnrh1 Glut'],0.9910017302271423,0.9661355381839447,0.7513565342063995,0.031194295900178252,0.17803466750979263,0.1644575527762075,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,41,39,43,3.294805636610366,3.066981204342971,3.517083139408244,0.5061618591672044,0.45010193506527285,12473,1122,52033,1,['32 OEC'],0.9627739941243877,0.9907748614029979,0.7066420014928484,0.16488413547237077,0.1294143622418657,0.11657735918941203,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,46,44,48,3.7842382240187393,3.59143993666362,3.978963795417818,0.4975133349851606,0.38752385875419826,21795,1122,52034,2,"['12 HY GABA', '25 Pineal Glut']",0.9820924042236376,0.9615985930267981,0.8068686562141809,0.16042780748663102,0.18707029318567053,0.16615728577219005,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,51,49,53,4.276677295245734,4.078073091828791,4.479026015191546,0.4953304785790513,0.40095292336275534,21184,1122,52035,1,['32 OEC'],0.9641384376401795,0.9478906311835725,0.7825036076094675,0.10606060606060606,0.1677818116499835,0.1441871417515759,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,56,54,58,4.791846418988289,4.58238847063646,5.006026817303378,0.4944263190520693,0.4236383466669178,22963,1122,52036,0,[],0.9862557652823041,0.9737303349757022,0.785957916145663,0.1711229946524064,0.1923519335346504,0.16275504457346268,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,61,59,63,5.302221068661704,5.113621212334258,5.488321109404307,0.5033357569676302,0.374699897070049,27215,1122,52037,0,[],0.9532080020497482,0.8935529496446581,0.7890907116413937,0.13903743315508021,0.17808824264550632,0.1517795975344761,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,66,64,68,5.752391808790593,5.567655087858689,5.929325985384948,0.510786801469121,0.3616708975262597,26940,1122,52038,3,"['24 MY Glut', '27 MY GABA', '28 CB GABA']",0.9794402563674725,0.9645252153115693,0.804008681466446,0.15062388591800357,0.21643815397597882,0.19081693313377135,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,71,69,73,6.104251618282508,5.982229675640416,6.200240592391375,0.5597056535544139,0.21801091675095918,26292,1122,52039,0,[],0.9486233605683515,0.9751301426649734,0.724291329688782,0.13368983957219252,0.10182321436067954,0.09463953868087813,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
5,medium_gap5,76,74,78,6.418447464831936,6.272687784632539,6.563512354140034,0.5011945189027116,0.29082456950749513,27848,1122,52040,1,['23 P Glut'],0.8975754450304094,0.824367487443136,0.7299863650415908,0.05525846702317291,0.2035772767994046,0.17195904946166185,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
