density_gap,density_name,generated_h5ad,label_support_labels,lower_ref_slice,mean_corr,median_gene_pearson,median_gene_spearman,moran_corr,n_genes,n_label_support_records,n_spots,per_class_metrics_csv,per_gene_metrics_csv,random_seed,ref_z_gap,target_slice,target_z,tau,upper_ref_slice,var_corr,z0,z1,zero_ks
5,medium_gap5,generated.h5ad,[],4,0.9911285208209325,0.10883771908302071,0.10911701906088453,0.6689096341999835,1122,0,10442,per_class_metrics.csv,per_gene_metrics.csv,52026,0.39999700000000005,6,0.2,0.49999624997187475,8,0.9776531668427755,3e-06,0.4,0.057932263814616754
5,medium_gap5,generated.h5ad,['20 MB GABA'],9,0.980466160698069,0.07321793674452892,0.06902499705902143,0.7737712052595044,1122,1,7644,per_class_metrics.csv,per_gene_metrics.csv,52027,0.2604716922215675,11,0.6198209509757062,0.4600152513839461,13,0.9711962969942439,0.5,0.7604716922215675,0.1408199643493761
5,medium_gap5,generated.h5ad,[],14,0.9652946896763965,0.09731252014010153,0.10180211426822819,0.7382437344537081,1122,0,9580,per_class_metrics.csv,per_gene_metrics.csv,52028,0.2915220584118724,16,0.9752523511274424,0.49298234230164506,18,0.9211546815767677,0.8315371239389605,1.123059182350833,0.04723707664884135
5,medium_gap5,generated.h5ad,"['08 CNU-MGE GABA', '15 HY Gnrh1 Glut', '19 MB Glut', '24 MY Glut', '29 CB Glut']",19,0.9743417794435956,0.08507115529778754,0.08406277166884109,0.7777946352998872,1122,5,11309,per_class_metrics.csv,per_gene_metrics.csv,52029,0.3109029170921045,21,1.3389267592772198,0.4663824924846593,23,0.9717932645274001,1.1939270818830527,1.5048299989751572,0.17557932263814616
5,medium_gap5,generated.h5ad,['14 HY Glut'],24,0.9883862630068889,0.13972813450820454,0.1398638850197981,0.7602158889349838,1122,1,9135,per_class_metrics.csv,per_gene_metrics.csv,52030,0.3739254930880098,26,1.970855827266864,0.7034529765487908,28,0.9714456438992706,1.707816826146629,2.081742319234639,0.045454545454545456
5,medium_gap5,generated.h5ad,['14 HY Glut'],29,0.9719315480612954,0.15036543178776987,0.1407960953756448,0.8330844132931478,1122,1,10732,per_class_metrics.csv,per_gene_metrics.csv,52031,0.3160002901176595,31,2.2700640329181714,0.42015755918988495,33,0.9264644047825604,2.13729412231904,2.4532944124366995,0.17557932263814616
5,medium_gap5,generated.h5ad,['15 HY Gnrh1 Glut'],34,0.991003990212582,0.17803466750978922,0.1644575527762075,0.7506040486344738,1122,1,9533,per_class_metrics.csv,per_gene_metrics.csv,52032,0.4094656323114325,36,2.760884455979676,0.4996284082330883,38,0.9661068169553817,2.55630379388176,2.9657694261931926,0.031194295900178252
5,medium_gap5,generated.h5ad,['32 OEC'],39,0.9627691250762099,0.12932348389259482,0.11657735918941203,0.7067360154399005,1122,1,12473,per_class_metrics.csv,per_gene_metrics.csv,52033,0.45010193506527285,41,3.294805636610366,0.5061618591672044,43,0.9907742352499134,3.066981204342971,3.517083139408244,0.16488413547237077
5,medium_gap5,generated.h5ad,"['12 HY GABA', '25 Pineal Glut']",44,0.9820950487676733,0.18707029318568064,0.16615728577219005,0.8067328628442884,1122,2,21795,per_class_metrics.csv,per_gene_metrics.csv,52034,0.38752385875419826,46,3.7842382240187393,0.4975133349851606,48,0.9616021596674922,3.59143993666362,3.978963795417818,0.16042780748663102
5,medium_gap5,generated.h5ad,['32 OEC'],49,0.9641373603625184,0.16776018436414603,0.1441871417515759,0.7825373900347077,1122,1,21184,per_class_metrics.csv,per_gene_metrics.csv,52035,0.40095292336275534,51,4.276677295245734,0.4953304785790513,53,0.9478923557096988,4.078073091828791,4.479026015191546,0.10606060606060606
5,medium_gap5,generated.h5ad,[],54,0.9862526981048919,0.192700271008231,0.16275504457346268,0.785984941596255,1122,0,22963,per_class_metrics.csv,per_gene_metrics.csv,52036,0.4236383466669178,56,4.791846418988289,0.4944263190520693,58,0.9737322237875785,4.58238847063646,5.006026817303378,0.1711229946524064
5,medium_gap5,generated.h5ad,[],59,0.9532083628172038,0.1780882426454727,0.1517795975344761,0.7891262648829716,1122,0,27215,per_class_metrics.csv,per_gene_metrics.csv,52037,0.374699897070049,61,5.302221068661704,0.5033357569676302,63,0.8935530889674196,5.113621212334258,5.488321109404307,0.13903743315508021
5,medium_gap5,generated.h5ad,"['24 MY Glut', '27 MY GABA', '28 CB GABA']",64,0.9794375194489071,0.21643815397598726,0.19081693313377135,0.804055797840107,1122,3,26940,per_class_metrics.csv,per_gene_metrics.csv,52038,0.3616708975262597,66,5.752391808790593,0.510786801469121,68,0.9645202172414211,5.567655087858689,5.929325985384948,0.15062388591800357
5,medium_gap5,generated.h5ad,[],69,0.9486862356117619,0.10157325985451908,0.09463953868087813,0.7236238629940194,1122,0,26292,per_class_metrics.csv,per_gene_metrics.csv,52039,0.21801091675095918,71,6.104251618282508,0.5597056535544139,73,0.9752773538660813,5.982229675640416,6.200240592391375,0.13368983957219252
5,medium_gap5,generated.h5ad,['23 P Glut'],74,0.8975128500428563,0.20277525330882504,0.17192354749082306,0.729975162206422,1122,1,27848,per_class_metrics.csv,per_gene_metrics.csv,52040,0.29082456950749513,76,6.418447464831936,0.5011945189027116,78,0.8235338027534242,6.272687784632539,6.563512354140034,0.05525846702317291
5,medium_gap5,generated.h5ad,['16 HY MM Glut'],79,0.9464472023147998,0.16485457906924475,0.14984131729981645,0.7341006994154411,1122,1,30439,per_class_metrics.csv,per_gene_metrics.csv,52041,0.464273628216886,81,6.881643083604378,0.47981708783539184,83,0.9472554437486234,6.65887666335458,7.123150291571466,0.0962566844919786
5,medium_gap5,generated.h5ad,['15 HY Gnrh1 Glut'],84,0.8903913699727393,0.18123884508350974,0.15811766719801915,0.6904281246424279,1122,1,30109,per_class_metrics.csv,per_gene_metrics.csv,52042,0.46346310058936346,86,7.463723138174608,0.47858083150810415,88,0.8789056953422344,7.241918582121226,7.705381682710589,0.06417112299465241
5,medium_gap5,generated.h5ad,['17 MH-LH Glut'],89,0.9650678959014526,0.17288370960429633,0.15006637900086575,0.7197101140205259,1122,1,26059,per_class_metrics.csv,per_gene_metrics.csv,52043,0.35641541343216154,91,8.008105978096916,0.5010327400610078,93,0.9777289778272018,7.829530186905023,8.185945600337185,0.06951871657754011
5,medium_gap5,generated.h5ad,[],93,0.9535688273702537,0.20460511762023403,0.17365522360453328,0.8012173787539564,1122,0,28442,per_class_metrics.csv,per_gene_metrics.csv,52044,0.4417800150296749,96,8.469022199413168,0.6407637046618515,98,0.9214209240488513,8.185945600337185,8.62772561536686,0.23440285204991088
5,medium_gap5,generated.h5ad,['16 HY MM Glut'],99,0.9693557048575198,0.14888125362096927,0.13251760110080568,0.7256299979602014,1122,1,25528,per_class_metrics.csv,per_gene_metrics.csv,52045,0.3026116994067678,101,8.854363135565341,0.5080478450507653,103,0.9366086922976954,8.700621913794583,9.00323361320135,0.0374331550802139
5,medium_gap5,generated.h5ad,[],104,0.974602348150677,0.19454283573704198,0.1639567708815346,0.7888655100141646,1122,0,27169,per_class_metrics.csv,per_gene_metrics.csv,52046,0.4213256970710848,106,9.307552976701205,0.48040145766109554,108,0.9583182559654682,9.105147497678178,9.526473194749263,0.14260249554367202
5,medium_gap5,generated.h5ad,[],109,0.967749666823785,0.11872818227832077,0.10634807031453493,0.7194491822978588,1122,0,20936,per_class_metrics.csv,per_gene_metrics.csv,52047,0.43009666572596394,111,9.847676327766404,0.5317760080495957,113,0.9445997960072154,9.61896123979121,10.049057905517174,0.05614973262032086
5,medium_gap5,generated.h5ad,['09 CNU-LGE GABA'],114,0.9751162404125082,0.13697281982656603,0.11840322458987211,0.747670618922558,1122,1,19003,per_class_metrics.csv,per_gene_metrics.csv,52048,0.35496393746369215,116,10.354266571312971,0.6032824780213948,118,0.9589018843665879,10.140123047511644,10.495086984975336,0.17736185383244207
5,medium_gap5,generated.h5ad,[],119,0.9479055977114159,0.09623388332079907,0.08222760186309239,0.770613511895295,1122,0,18805,per_class_metrics.csv,per_gene_metrics.csv,52049,0.2727156461639222,121,10.702504977376009,0.49714708825229365,123,0.8502899460386991,10.566925187964772,10.839640834128694,0.19875222816399288
5,medium_gap5,generated.h5ad,['04 DG-IMN Glut'],124,0.9876499125556214,0.07661326534577245,0.06851196122752037,0.7619723644356272,1122,1,20175,per_class_metrics.csv,per_gene_metrics.csv,52050,0.3333031386801881,126,11.067791421558011,0.48264868284102,128,0.9495989884237496,10.90692310068724,11.240226239367429,0.058823529411764705
5,medium_gap5,generated.h5ad,[],129,0.9170152967955877,0.08637977506546755,0.07560493762618814,0.6575055443880922,1122,0,16997,per_class_metrics.csv,per_gene_metrics.csv,52051,0.39550236479138867,131,11.533454649051524,0.48218501853110673,133,0.8787682604031433,11.342749333955492,11.73825169874688,0.13636363636363635
5,medium_gap5,generated.h5ad,['01 IT-ET Glut'],134,0.9873711158772616,0.10132361855773359,0.08716801293301055,0.6081759654024322,1122,1,14630,per_class_metrics.csv,per_gene_metrics.csv,52052,0.35032718941472396,136,12.046132738254242,0.503432887870086,138,0.9484066936540502,11.869766509587777,12.2200936990025,0.09536541889483066
5,medium_gap5,generated.h5ad,"['09 CNU-LGE GABA', '11 CNU-HYa GABA']",139,0.9268826900720694,0.07420859871557252,0.0676290347114081,0.7124869029581643,1122,2,10682,per_class_metrics.csv,per_gene_metrics.csv,52053,0.4492831773198791,141,12.557298711671177,0.5538646473619079,143,0.7716112523394892,12.308456643099264,12.757739820419143,0.3244206773618538
5,medium_gap5,generated.h5ad,"['01 IT-ET Glut', '11 CNU-HYa GABA']",144,0.9700134049420938,0.08414162138310687,0.0786833590674584,0.7872774863421867,1122,2,14027,per_class_metrics.csv,per_gene_metrics.csv,52054,0.399999999999995,146,13.057739820419144,0.5000000000000044,148,0.9759337614390701,12.857739820419145,13.25773982041914,0.15418894830659535
