gene,pearson_r,spearman_rho,generated_mean,target_mean,generated_variance,target_variance,generated_zero_prop,target_zero_prop,generated_moran_i,target_moran_i
1700057H15Rik,0.011161751023301199,0.006844394296112907,0.006434458920499867,0.004573251794735443,0.01043453498913159,0.004552337162755679,0.9952672161659133,0.9954267482052646,0.08500400006066627,0.009149701149313315
2610028E06Rik,0.008849291636323944,0.012757121560746853,0.003881946290880085,0.003562882212177612,0.005568551870287995,0.0035501880825192255,0.9969157139058761,0.9964371177878224,0.06392465080502203,0.004100534790027744
2900052N01Rik,0.03169067321101857,0.02787381022312208,0.01127359744748737,0.017601701675086415,0.021356553966558504,0.01984439440285745,0.9926083488433927,0.9835150226003723,0.19952358291279135,0.007806802218551158
4921534H16Rik,-0.005428523593251377,-0.005908487643289357,0.007444828503057698,0.006487636266950279,0.01228171890505567,0.0064455468426146585,0.9946822653549587,0.9935123637330497,0.04534428849039949,0.00041657051251132196
4921539H07Rik,-0.002139081369210528,0.0024955890336352845,0.01276256314809891,0.0157936718957724,0.023554213498774595,0.016395069367030026,0.991491624567934,0.9846317468758309,0.04947647478078431,0.0059735467768295015
4930426D05Rik,0.03844052982293751,0.04497425344823034,0.004626429141185855,0.008774262164318,0.006944828538405574,0.010718013652900149,0.9964371177878224,0.9920765753788886,0.1183859239936995,0.022839884016394824
4930438E09Rik,-0.003482958090805118,-0.0037983606381752997,0.004094655676681733,0.00452007444828503,0.005992273943785988,0.004712352761066009,0.9967561818665248,0.9955862802446158,0.022267200745990257,0.0027879126110685794
4930452B06Rik,0.05224295185262322,0.04221357226287304,0.049667641584684924,0.05126296197819729,0.10176072442222305,0.06373743709933537,0.9701143312948683,0.9550651422494018,0.1303088595117322,0.028489294098343
4930467D21Rik,0.024692793171333834,0.017685309996694137,0.005955862802446158,0.0053177346450412125,0.009961868830955919,0.005395811036187228,0.9956926349375166,0.9947354427014092,0.06318120606472173,-0.0017023826369191304
4930509J09Rik,0.032614178673989615,0.022071230589243887,0.005158202605689976,0.008614730124966764,0.008003172259890882,0.00885958062854225,0.9960648763626695,0.9915448019143844,0.0661859847512741,0.011708388179651091
5830418P13Rik,0.011551808200375003,0.00533642981852229,0.009571922361074183,0.010475937250731189,0.01703148385934627,0.012067867075865449,0.9934591863865994,0.9901621909066738,0.05232814915297165,-0.002603141484921161
6430628N08Rik,-0.003371241666511623,-0.0037804842826123165,0.005530444030842861,0.0036160595586280245,0.009222272471193425,0.0038156930576988737,0.9959585216697687,0.9964902951342728,0.04489980439014726,0.008052479145293652
6530403H02Rik,-0.004077064333796212,-0.0044199653287028415,0.003935123637330497,0.006328104227599043,0.005834022911504257,0.006394414017385248,0.9969157139058761,0.9937250731188514,0.09798776001249894,0.005966258690645562
9330158H04Rik,-0.006852623844138893,-0.007580299754686148,0.00776389258176017,0.0105291145971816,0.013659477356185218,0.010418252342975373,0.9946290880085084,0.9894708854028184,0.07880052352052223,0.004573059014939699
9630002D21Rik,-0.0019281597005320096,-0.002047197601652602,0.002233448550917309,0.002233448550917309,0.00286658841589266,0.002334814951388776,0.9980856155277852,0.9978197287955332,0.01991619529398158,-0.002356913775227775
A2m,0.5572820461072808,0.41786190436689274,0.14512097846317468,0.37963307630949217,0.4915163440454133,3.408816775762662,0.944004254187716,0.8910927944695559,0.5119305035773634,0.35704500735619565
A330076C08Rik,0.13841598281778741,0.0979112189558807,0.013081627226801383,0.055783036426482316,0.02429045039628858,0.0908526240249918,0.991225737835682,0.9581494283435257,0.09848598443606418,0.023441464443975265
A630012P03Rik,0.021658404917965026,0.013779447219351109,0.003722414251528849,0.003403350172826376,0.005516587662982875,0.003391767380425811,0.9970752459452273,0.9965966498271737,0.06507861651338862,-0.0032993614712852146
A730046J19Rik,0.007941961704508954,0.011664242797689541,0.0032438181334751397,0.004785961180537091,0.004615906785102792,0.004869410449013019,0.9973943100239298,0.9952672161659133,0.02854750985410561,0.013418817316713842
A830009L08Rik,0.023414353878311492,0.00867722703437358,0.00452007444828503,0.00499867056633874,0.0067330919261843,0.005080038551808275,0.9964902951342728,0.9950545067801116,0.10730425323710105,0.005348714831444096
A830019P07Rik,0.01822436263900884,0.02184375939386393,0.01324115926615262,0.025365594256846584,0.023914009643325077,0.02684927474286804,0.9911193831427811,0.9756447753257113,0.1586917528393864,-0.0009826404804271053
A830036E02Rik,0.008324741436841926,0.017822746560590977,0.014676947620313746,0.024621111406540813,0.029457546527880532,0.037521958278041424,0.9907471417176283,0.980005317734645,0.2161233375834985,0.0713470842714128
AW551984,0.15060691556695108,0.13494589874160545,0.0197287955331029,0.04855091730922627,0.03890883365366758,0.09150082491334874,0.9876096782770539,0.9652751927678809,0.19557637354469876,0.09451037298513439
Abca8a,0.04951631549953567,0.07521811214043518,0.03823451209784632,0.16043605424089338,0.07803825502800577,0.34889467824276627,0.9767614996011699,0.9015687317202872,0.14598435029390128,0.058634338792915075
Abcc9,0.10184237216508658,0.09289360977400887,0.1455995745812284,0.27125764424355225,0.6743604554531559,2.985233435614789,0.9583621377293273,0.9300717894177081,0.17142392497589035,0.0003739226416403926
Abhd12b,0.01639748777272008,0.017107387408415806,0.005583621377293273,0.00600904014889657,0.009381213494037978,0.006291995664085527,0.9959585216697687,0.9941504918904547,0.07314330843480235,-0.002735398747399099
Abi3bp,0.2008070072496411,0.18750500907608494,0.037649561286891786,0.06684392448816805,0.08419803832006813,0.14809769672515982,0.9786227067269343,0.9554373836745547,0.19664797366920397,0.058061994257379186
Acsbg1,0.4968310269471121,0.363023103906397,1.9109279446955596,1.875990428077639,13.107780074839939,13.058272250903698,0.5710183461845254,0.5313480457325179,0.2360016541228666,0.15391653458596444
Acta2,0.39321225079825806,0.20342458792722165,0.25477266684392447,0.4322254719489497,2.804487325347022,15.12091844531143,0.961552778516352,0.9469821855889391,0.6457946599720014,0.2420469914077616
Actn2,0.251989860454696,0.17785287862097077,0.06391917043339537,0.05737835681999468,0.17490928780319376,0.14246683078927258,0.9684126562084552,0.962190906673757,0.20161855121488054,0.04083080694722258
Acvr1c,0.007653722588920148,0.011619176778339076,0.008082956660462643,0.03515022600372241,0.015143386896442948,0.04263577243346653,0.994575910662058,0.9687317202871577,0.04048270759643726,0.006825911930796713
Adad1,-0.0007210380449389868,-0.00021608829671643297,0.01675086413187982,0.010316405211379952,0.03252983131073959,0.010422686380700617,0.9893645307099176,0.9897899494815209,0.139240787844113,0.00910989537916009
Adam12,0.05432824504492606,0.0656812975343724,0.030630151555437385,0.05344323318266418,0.06585254095740856,0.08451420104501711,0.9819728795533103,0.957936718957724,0.2840555022314642,0.04467301778710379
Adam18,0.15836442790006314,0.07192943851194854,0.004626429141185855,0.007976601967561819,0.00779566608161217,0.010784552496934892,0.996649827173624,0.9928742355756448,0.007439151527545012,0.0057301881977004305
