class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,Antxr2,13,0.2,13.057739820419144,0.2604811398465134
01 IT-ET Glut,Anxa2,13,0.2,13.057739820419144,0.7053501822302266
01 IT-ET Glut,Apela,13,0.2,13.057739820419144,0.35723060522103
01 IT-ET Glut,Apex1,13,0.2,13.057739820419144,0.09017659363174699
01 IT-ET Glut,Apold1,13,0.2,13.057739820419144,0.4130602341064292
01 IT-ET Glut,Aqp1,13,0.2,13.057739820419144,0.8632244136976859
01 IT-ET Glut,Aqp4,13,0.2,13.057739820419144,0.4028170043546612
01 IT-ET Glut,Aqp6,13,0.2,13.057739820419144,0.408854426333493
01 IT-ET Glut,Ar,13,0.2,13.057739820419144,0.7191537171242753
01 IT-ET Glut,Arhgap15,13,0.2,13.057739820419144,0.6776136475809595
01 IT-ET Glut,Arhgap22,13,0.2,13.057739820419144,0.6125408944401645
01 IT-ET Glut,Arhgap25,13,0.2,13.057739820419144,0.594130734312833
01 IT-ET Glut,Arhgap28,13,0.2,13.057739820419144,0.9483063802617385
01 IT-ET Glut,Arhgap36,13,0.2,13.057739820419144,0.8845801712989323
01 IT-ET Glut,Arhgef26,13,0.2,13.057739820419144,0.8487122422535827
01 IT-ET Glut,Arhgef38,13,0.2,13.057739820419144,0.7000649984769989
01 IT-ET Glut,Arntl,13,0.2,13.057739820419144,0.2250560934112702
01 IT-ET Glut,Arsj,13,0.2,13.057739820419144,0.6698947575199177
01 IT-ET Glut,Arx,13,0.2,13.057739820419144,0.3737094044155414
01 IT-ET Glut,Asb2,13,0.2,13.057739820419144,-0.1981201527593886
01 IT-ET Glut,Asb4,13,0.2,13.057739820419144,-0.004201214726057134
01 IT-ET Glut,Ascl1,13,0.2,13.057739820419144,0.6942570709777579
01 IT-ET Glut,Asic4,13,0.2,13.057739820419144,0.7946837329051192
01 IT-ET Glut,Atp10a,13,0.2,13.057739820419144,0.6447842086472672
01 IT-ET Glut,Atp6ap1l,13,0.2,13.057739820419144,0.8983041961289424
01 IT-ET Glut,Atp6v1c2,13,0.2,13.057739820419144,0.70006447270025
01 IT-ET Glut,Avpr1a,13,0.2,13.057739820419144,0.7879868058777604
01 IT-ET Glut,B020031H02Rik,13,0.2,13.057739820419144,-0.4032492644103178
01 IT-ET Glut,B230323A14Rik,13,0.2,13.057739820419144,-0.562144743576649
01 IT-ET Glut,B930025P03Rik,13,0.2,13.057739820419144,0.7471297875544272
01 IT-ET Glut,B9d2,13,0.2,13.057739820419144,-0.16514805614502057
01 IT-ET Glut,Bace2,13,0.2,13.057739820419144,0.6194177190270104
01 IT-ET Glut,Baiap3,13,0.2,13.057739820419144,-0.30298714102543095
01 IT-ET Glut,Barhl1,13,0.2,13.057739820419144,0.6950999005455444
01 IT-ET Glut,Barhl2,13,0.2,13.057739820419144,-0.17779061012810024
01 IT-ET Glut,Barx2,13,0.2,13.057739820419144,0.9141869383633888
01 IT-ET Glut,Baz1a,13,0.2,13.057739820419144,0.7346906847486225
01 IT-ET Glut,Bcl11a,13,0.2,13.057739820419144,0.08002454188145405
01 IT-ET Glut,Bcl11b,13,0.2,13.057739820419144,0.5418011098107689
01 IT-ET Glut,Bcl6,13,0.2,13.057739820419144,0.240625573312618
01 IT-ET Glut,Bdnf,13,0.2,13.057739820419144,0.8043385030576493
01 IT-ET Glut,Bhlhe22,13,0.2,13.057739820419144,0.8450562392416765
01 IT-ET Glut,Bhlhe23,13,0.2,13.057739820419144,0.6048125708166994
01 IT-ET Glut,Blnk,13,0.2,13.057739820419144,0.9421496866350146
01 IT-ET Glut,Bmp2,13,0.2,13.057739820419144,0.8725127375989331
01 IT-ET Glut,Bmp3,13,0.2,13.057739820419144,0.4845757291237528
01 IT-ET Glut,Bmp4,13,0.2,13.057739820419144,0.6541346003731403
01 IT-ET Glut,Bmp6,13,0.2,13.057739820419144,-0.19392629163531266
01 IT-ET Glut,Bmpr1b,13,0.2,13.057739820419144,0.2021049730458388
01 IT-ET Glut,Bnc2,13,0.2,13.057739820419144,0.9011865070795394
01 IT-ET Glut,Boc,13,0.2,13.057739820419144,0.8237509892090218
01 IT-ET Glut,Brs3,13,0.2,13.057739820419144,0.0460399949924642
01 IT-ET Glut,Bsx,13,0.2,13.057739820419144,0.7363100882030535
01 IT-ET Glut,Bves,13,0.2,13.057739820419144,-0.08288450282166523
01 IT-ET Glut,C030029H02Rik,13,0.2,13.057739820419144,0.6729102856688008
01 IT-ET Glut,C130074G19Rik,13,0.2,13.057739820419144,0.5918422736002067
01 IT-ET Glut,C1ql1,13,0.2,13.057739820419144,0.7734114956036984
01 IT-ET Glut,C1ql2,13,0.2,13.057739820419144,0.647671177603866
01 IT-ET Glut,C1ql3,13,0.2,13.057739820419144,0.4031583573891143
01 IT-ET Glut,C1qtnf7,13,0.2,13.057739820419144,0.8351966374124887
01 IT-ET Glut,C230014O12Rik,13,0.2,13.057739820419144,0.9960852789045695
01 IT-ET Glut,C7,13,0.2,13.057739820419144,0.68579733147436
01 IT-ET Glut,C730002L08Rik,13,0.2,13.057739820419144,0.05374636789738112
01 IT-ET Glut,Cacng5,13,0.2,13.057739820419144,-0.10211609772555945
01 IT-ET Glut,Calb1,13,0.2,13.057739820419144,0.792711255576346
01 IT-ET Glut,Calb2,13,0.2,13.057739820419144,-0.23594387977807746
01 IT-ET Glut,Calcr,13,0.2,13.057739820419144,0.9165730859838292
01 IT-ET Glut,Calcrl,13,0.2,13.057739820419144,0.7023577234052545
01 IT-ET Glut,Caln1,13,0.2,13.057739820419144,0.5252986564758296
01 IT-ET Glut,Car12,13,0.2,13.057739820419144,0.7506179167122788
01 IT-ET Glut,Car3,13,0.2,13.057739820419144,0.7415799341343278
01 IT-ET Glut,Car4,13,0.2,13.057739820419144,0.29713904239865696
01 IT-ET Glut,Car8,13,0.2,13.057739820419144,0.19861701319441266
01 IT-ET Glut,Cartpt,13,0.2,13.057739820419144,0.2641335661988289
01 IT-ET Glut,Casq2,13,0.2,13.057739820419144,0.7692287583772708
01 IT-ET Glut,Casr,13,0.2,13.057739820419144,0.5686297933922688
01 IT-ET Glut,Casz1,13,0.2,13.057739820419144,-0.3262442479737417
01 IT-ET Glut,Catsperd,13,0.2,13.057739820419144,0.6952531420361598
01 IT-ET Glut,Cbln1,13,0.2,13.057739820419144,0.2637934204830705
01 IT-ET Glut,Cbln2,13,0.2,13.057739820419144,0.17900050819968574
01 IT-ET Glut,Cbln4,13,0.2,13.057739820419144,0.5288458499185218
01 IT-ET Glut,Ccbe1,13,0.2,13.057739820419144,0.3172856234776369
01 IT-ET Glut,Ccdc141,13,0.2,13.057739820419144,-0.24070203518542813
01 IT-ET Glut,Ccdc187,13,0.2,13.057739820419144,0.8587989454397744
01 IT-ET Glut,Ccdc192,13,0.2,13.057739820419144,0.8310649332789503
01 IT-ET Glut,Ccdc3,13,0.2,13.057739820419144,0.6557397446342038
01 IT-ET Glut,Ccdc42,13,0.2,13.057739820419144,0.7599210140845297
01 IT-ET Glut,Ccdc80,13,0.2,13.057739820419144,0.9247878420014514
01 IT-ET Glut,Cckar,13,0.2,13.057739820419144,0.7592602666575765
01 IT-ET Glut,Cckbr,13,0.2,13.057739820419144,0.7380584747563741
01 IT-ET Glut,Ccn2,13,0.2,13.057739820419144,0.874841890966004
01 IT-ET Glut,Ccn3,13,0.2,13.057739820419144,0.8211862376520355
01 IT-ET Glut,Ccn4,13,0.2,13.057739820419144,-0.24729343973289603
01 IT-ET Glut,Ccnb1,13,0.2,13.057739820419144,0.9784372056668634
01 IT-ET Glut,Ccnd2,13,0.2,13.057739820419144,0.22733373823030326
01 IT-ET Glut,Cd247,13,0.2,13.057739820419144,0.5943499042372247
01 IT-ET Glut,Cd24a,13,0.2,13.057739820419144,0.27352938924742853
01 IT-ET Glut,Cd34,13,0.2,13.057739820419144,0.3030815668843317
01 IT-ET Glut,Cd36,13,0.2,13.057739820419144,0.6604410821526476
01 IT-ET Glut,Cd44,13,0.2,13.057739820419144,0.7461091290695768
01 IT-ET Glut,Cd79a,13,0.2,13.057739820419144,0.8564795423051654
01 IT-ET Glut,Cdc14a,13,0.2,13.057739820419144,0.16620733957720563
01 IT-ET Glut,Cdh20,13,0.2,13.057739820419144,-0.47168715829371355
01 IT-ET Glut,Cdh23,13,0.2,13.057739820419144,0.013613535637425397
01 IT-ET Glut,Cdh3,13,0.2,13.057739820419144,0.14249370990945076
01 IT-ET Glut,Cdh6,13,0.2,13.057739820419144,0.28679117212185257
01 IT-ET Glut,Cdh9,13,0.2,13.057739820419144,-0.253731136382068
01 IT-ET Glut,Cdhr1,13,0.2,13.057739820419144,0.9786614937123812
01 IT-ET Glut,Cdk15,13,0.2,13.057739820419144,0.7999394010020947
01 IT-ET Glut,Cdkn1a,13,0.2,13.057739820419144,-0.40222092014922095
01 IT-ET Glut,Cdkn1c,13,0.2,13.057739820419144,0.5630245621063865
01 IT-ET Glut,Cfap206,13,0.2,13.057739820419144,-0.08997686159704021
01 IT-ET Glut,Cftr,13,0.2,13.057739820419144,0.8365265683689195
01 IT-ET Glut,Cgnl1,13,0.2,13.057739820419144,-0.5283136807000243
01 IT-ET Glut,Chat,13,0.2,13.057739820419144,-0.36104948609624404
01 IT-ET Glut,Chn2,13,0.2,13.057739820419144,-0.13823127419255382
01 IT-ET Glut,Chodl,13,0.2,13.057739820419144,0.8409036381805041
01 IT-ET Glut,Chrdl1,13,0.2,13.057739820419144,0.861317811851068
01 IT-ET Glut,Chrm1,13,0.2,13.057739820419144,0.6029189029456935
01 IT-ET Glut,Chrm2,13,0.2,13.057739820419144,-0.34534527389825204
01 IT-ET Glut,Chrm3,13,0.2,13.057739820419144,0.5205800754554243
