density_gap,density_name,mean_corr_mean,mean_corr_median,median_gene_pearson_mean,median_gene_pearson_median,median_gene_spearman_mean,median_gene_spearman_median,moran_corr_mean,moran_corr_median,n_references,n_targets,normalized_z_coherence,radius,real_split_half_z_coherence_by_class,real_split_half_z_coherence_mean,real_split_half_z_coherence_median,real_split_half_z_coherence_n_pairs,ref_z_gap_max,ref_z_gap_min,references,target_slices,target_start,tau_mean,var_corr_mean,var_corr_median,z_coherence_by_class,z_coherence_mean,z_coherence_median,z_coherence_n_pairs,z_regularized_mean_corr_mean,z_regularized_mean_corr_median,z_regularized_median_gene_pearson_mean,z_regularized_median_gene_pearson_median,z_regularized_median_gene_spearman_mean,z_regularized_median_gene_spearman_median,z_regularized_moran_corr_mean,z_regularized_moran_corr_median,z_regularized_normalized_z_coherence,z_regularized_var_corr_mean,z_regularized_var_corr_median,z_regularized_z_coherence_by_class,z_regularized_z_coherence_mean,z_regularized_z_coherence_median,z_regularized_z_coherence_n_pairs,z_regularized_zero_ks_mean,z_regularized_zero_ks_median,zero_ks_mean,zero_ks_median
3,dense_gap3,0.9623331762407269,0.9703575367070649,0.15020809950717706,0.1470842592995773,0.1315176801783469,0.13854680805109693,0.7604162939449924,0.7622188192615189,95,49,0.4070092907531109,1,"{'01 IT-ET Glut': 0.8990084712395363, '02 NP-CT-L6b Glut': 0.3818133475958854, '03 OB-CR Glut': 0.3186457509698614, '04 DG-IMN Glut': 0.43239326595704064, '05 OB-IMN GABA': 0.4382265458039514, '06 CTX-CGE GABA': 0.311823845274133, '07 CTX-MGE GABA': 0.6342784039174414, '08 CNU-MGE GABA': 0.18944003066318466, '09 CNU-LGE GABA': 0.30544465694785305, '10 LSX GABA': 0.20872986652568076, '11 CNU-HYa GABA': 0.22999290308576908, '12 HY GABA': 0.10375623086423479, '13 CNU-HYa Glut': 0.23988985683288905, '14 HY Glut': 0.4812267926885533, '15 HY Gnrh1 Glut': -0.16666666666666663, '16 HY MM Glut': 0.9557607324192051, '17 MH-LH Glut': 0.5893111198440883, '18 TH Glut': 0.7137229471383986, '19 MB Glut': 0.6384841559123302, '20 MB GABA': 0.24239435527925124, '21 MB Dopa': 0.35603232458392886, '22 MB-HB Sero': 0.2941155714864695, '23 P Glut': 0.5172417991871932, '24 MY Glut': 0.3490636344524489, '25 Pineal Glut': -0.08263808639554038, '26 P GABA': 0.6523505756512031, '27 MY GABA': 0.45564385361125015, '28 CB GABA': 0.7280048283502285, '29 CB Glut': 0.33229109533387885, '30 Astro-Epen': 0.9123145799034422, '31 OPC-Oligo': 0.8587333137915077, '32 OEC': 0.6020807858222191, '33 Vascular': 0.9093616442852577, '34 Immune': 0.7323184617744027}",0.4489034008631918,0.5179942171021159,36915,0.29862611104281767,0.10889970056024811,"[4, 6, 7, 9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 24, 25, 27, 28, 30, 31, 33, 34, 36, 37, 39, 40, 42, 43, 45, 46, 48, 49, 51, 52, 54, 55, 57, 58, 60, 61, 63, 64, 66, 67, 69, 70, 72, 73, 76, 78, 79, 81, 82, 84, 85, 87, 88, 90, 91, 93, 96, 97, 99, 100, 102, 103, 105, 106, 108, 109, 111, 114, 115, 117, 118, 120, 121, 123, 124, 126, 127, 129, 130, 132, 133, 135, 136, 138, 139, 141, 142, 144, 145, 147, 148, 150]","[5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44, 47, 50, 53, 56, 59, 62, 65, 68, 71, 74, 77, 80, 83, 86, 89, 92, 95, 98, 101, 104, 107, 110, 113, 116, 119, 122, 125, 128, 131, 134, 137, 140, 143, 146, 149]",5,0.49539504629401443,0.9334766252976047,0.9449083703744057,"{'01 IT-ET Glut': 0.29892309242569265, '02 NP-CT-L6b Glut': 0.29775833376464333, '03 OB-CR Glut': 0.343353138946264, '04 DG-IMN Glut': 0.13306543726263378, '05 OB-IMN GABA': 0.35317038800685274, '06 CTX-CGE GABA': 0.14742795521449834, '07 CTX-MGE GABA': 0.1858030667999262, '08 CNU-MGE GABA': 0.17293925051461317, '09 CNU-LGE GABA': 0.20366658895634507, '10 LSX GABA': 0.18149735316921578, '11 CNU-HYa GABA': 0.11960970233574104, '12 HY GABA': 0.05173971785430642, '13 CNU-HYa Glut': 0.18859563379792588, '14 HY Glut': 0.0592575794594291, '15 HY Gnrh1 Glut': -0.09090909090909091, '16 HY MM Glut': 0.779112597598447, '17 MH-LH Glut': -0.06062864439649933, '18 TH Glut': 0.3265133107029738, '19 MB Glut': 0.23894730173854567, '20 MB GABA': 0.05159496120380021, '21 MB Dopa': 0.03623123079210307, '22 MB-HB Sero': 0.2089501644565893, '23 P Glut': 0.24826958536408494, '24 MY Glut': 0.15311606247284842, '25 Pineal Glut': -0.060043624089997145, '26 P GABA': 0.3041933952791358, '27 MY GABA': 0.15902261150871985, '28 CB GABA': 0.354312947804991, '29 CB Glut': 0.0016488678299669867, '30 Astro-Epen': 0.41391308275572103, '31 OPC-Oligo': 0.33856464364548117, '32 OEC': 0.4872818699392612, '33 Vascular': 0.2553063373958755, '34 Immune': 0.2814509347858202}",0.2366741103047419,0.21082845891694513,36861,0.9626177651923452,0.9703920951261256,0.1501528012942742,0.1474280332969159,0.13154926805396375,0.13855323887388915,0.7609545193832825,0.7637100411158364,0.45293277132341775,0.934789090078805,0.9449688484536749,"{'01 IT-ET Glut': 0.31103678296734805, '02 NP-CT-L6b Glut': 0.30532716967051693, '03 OB-CR Glut': 0.3495498949518696, '04 DG-IMN Glut': 0.16476070384610025, '05 OB-IMN GABA': 0.38651970238852984, '06 CTX-CGE GABA': 0.16340485899626708, '07 CTX-MGE GABA': 0.17252919939789746, '08 CNU-MGE GABA': 0.17315684998125186, '09 CNU-LGE GABA': 0.21207167250728265, '10 LSX GABA': 0.20314344653669586, '11 CNU-HYa GABA': 0.1729240305498112, '12 HY GABA': 0.09599089218521635, '13 CNU-HYa Glut': 0.19389847755407968, '14 HY Glut': 0.14934468359016947, '15 HY Gnrh1 Glut': -0.12666009927622468, '16 HY MM Glut': 0.7815821215113476, '17 MH-LH Glut': -0.06366465198424864, '18 TH Glut': 0.3770169714354853, '19 MB Glut': 0.24108311508829688, '20 MB GABA': 0.08980200414043252, '21 MB Dopa': 0.036133047496010845, '22 MB-HB Sero': 0.17093950880491815, '23 P Glut': 0.2754538782111763, '24 MY Glut': 0.19465291806349933, '25 Pineal Glut': -0.0011808273325160676, '26 P GABA': 0.32614665914040786, '27 MY GABA': 0.22109237052143987, '28 CB GABA': 0.3806925579429451, '29 CB Glut': 0.11478131266332259, '30 Astro-Epen': 0.4161869843265732, '31 OPC-Oligo': 0.34012301999173133, '32 OEC': 0.48088226840838755, '33 Vascular': 0.2547016067467386, '34 Immune': 0.28527950600999424}",0.24898451328523316,0.23461655628156547,36803,0.1401469678780603,0.13101604278074866,0.14012877878424096,0.1319073083778966
5,medium_gap5,0.9626134284796403,0.9693557048575198,0.13965189008742393,0.13972813450820454,0.12485144981978877,0.13251760110080568,0.7467758365297688,0.7506040486344738,57,29,0.5896010734710609,2,"{'01 IT-ET Glut': 0.9245613546872002, '02 NP-CT-L6b Glut': 0.37133884376679493, '03 OB-CR Glut': 0.2947069533853731, '04 DG-IMN Glut': 0.5133596059681107, '05 OB-IMN GABA': 0.46498982703778224, '06 CTX-CGE GABA': 0.40508428685584397, '07 CTX-MGE GABA': 0.6053999112525108, '08 CNU-MGE GABA': 0.15309843020303388, '09 CNU-LGE GABA': 0.43277276236331574, '10 LSX GABA': 0.4434157079349822, '11 CNU-HYa GABA': 0.2132975464885355, '12 HY GABA': 0.24736240767907103, '13 CNU-HYa Glut': 0.2555319013394258, '14 HY Glut': 0.649916991554138, '15 HY Gnrh1 Glut': -0.14053628855555467, '17 MH-LH Glut': 0.4621308688598201, '18 TH Glut': 0.8064746012836219, '19 MB Glut': 0.46977484969782657, '20 MB GABA': 0.5770470228490976, '21 MB Dopa': 0.6394616191751195, '22 MB-HB Sero': 0.2804485847310577, '23 P Glut': 0.6334774516764565, '24 MY Glut': 0.4988350627532271, '25 Pineal Glut': 0.9860322781180391, '26 P GABA': 0.6662201632799337, '27 MY GABA': 0.600644278568687, '28 CB GABA': 0.8304209876782166, '29 CB Glut': 0.26508785757608594, '30 Astro-Epen': 0.9101641049084838, '31 OPC-Oligo': 0.8312572638630805, '32 OEC': 0.6073101959430034, '33 Vascular': 0.8966134741621593, '34 Immune': 0.7023519138287726}",0.4646020371106372,0.5841456965160517,35519,0.464273628216886,0.21801091675095918,"[4, 8, 9, 13, 14, 18, 19, 23, 24, 28, 29, 33, 34, 38, 39, 43, 44, 48, 49, 53, 54, 58, 59, 63, 64, 68, 69, 73, 74, 78, 79, 83, 84, 88, 89, 93, 98, 99, 103, 104, 108, 109, 113, 114, 118, 119, 123, 124, 128, 129, 133, 134, 138, 139, 143, 144, 148]","[6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66, 71, 76, 81, 86, 91, 96, 101, 106, 111, 116, 121, 126, 131, 136, 141, 146]",6,0.512208637258513,0.9356913201628794,0.9495989884237496,"{'01 IT-ET Glut': 0.565825238590743, '02 NP-CT-L6b Glut': 0.27760724787265223, '03 OB-CR Glut': 0.40476241529461854, '04 DG-IMN Glut': 0.2685829150198267, '05 OB-IMN GABA': 0.42769619245452584, '06 CTX-CGE GABA': 0.24551687178024323, '07 CTX-MGE GABA': 0.32587126879914985, '08 CNU-MGE GABA': 0.24676396203111017, '09 CNU-LGE GABA': 0.247327016109802, '10 LSX GABA': 0.3404307448026268, '11 CNU-HYa GABA': 0.20613384342582441, '12 HY GABA': 0.23235810439124266, '13 CNU-HYa Glut': 0.20627022838535541, '14 HY Glut': 0.1351025995268435, '15 HY Gnrh1 Glut': -0.036680270237819904, '16 HY MM Glut': 1.0, '17 MH-LH Glut': 0.31663423281011416, '18 TH Glut': 0.3189351365725048, '19 MB Glut': 0.2947199687867691, '20 MB GABA': 0.3600370681781824, '21 MB Dopa': 0.3378527472773067, '22 MB-HB Sero': 0.17893678991152498, '23 P Glut': 0.18439478441932639, '24 MY Glut': 0.23566769456147363, '25 Pineal Glut': 0.2604574558038137, '26 P GABA': 0.2875346503172883, '27 MY GABA': 0.3032652037899126, '28 CB GABA': 0.4960656677919314, '29 CB Glut': 0.17380881207090298, '30 Astro-Epen': 0.5544949382457067, '31 OPC-Oligo': 0.48743295453274815, '32 OEC': 0.5746079637444005, '33 Vascular': 0.43149792043475443, '34 Immune': 0.42848025242994414}",0.3218928669145234,0.3444129297293647,36503,0.9626158243373081,0.9693622778249861,0.1397279621031837,0.1390490069365381,0.12491992312681931,0.13251760110080568,0.7468857081842124,0.7513565342063995,0.5835748836399559,0.9358177124187018,0.9496042250737371,"{'01 IT-ET Glut': 0.5136871222888028, '02 NP-CT-L6b Glut': 0.2823318569083289, '03 OB-CR Glut': 0.4047624152946191, '04 DG-IMN Glut': 0.30761697304252544, '05 OB-IMN GABA': 0.41792968334295977, '06 CTX-CGE GABA': 0.24807159919279642, '07 CTX-MGE GABA': 0.2736816217789376, '08 CNU-MGE GABA': 0.24532164372776638, '09 CNU-LGE GABA': 0.21711012025520351, '10 LSX GABA': 0.37307652887371856, '11 CNU-HYa GABA': 0.20340628066613975, '12 HY GABA': 0.20270050502899958, '13 CNU-HYa Glut': 0.21026015659250097, '14 HY Glut': 0.2538902974436262, '15 HY Gnrh1 Glut': -0.10556148445825662, '16 HY MM Glut': 1.0, '17 MH-LH Glut': 0.2468686898110378, '18 TH Glut': 0.34252650057789924, '19 MB Glut': 0.32306103659172747, '20 MB GABA': 0.35792024697299424, '21 MB Dopa': 0.3378527472773068, '22 MB-HB Sero': 0.14814354976616656, '23 P Glut': 0.25576933497175824, '24 MY Glut': 0.19397574596512557, '25 Pineal Glut': 0.26045745580381374, '26 P GABA': 0.32220203258233915, '27 MY GABA': 0.28583537453588537, '28 CB GABA': 0.5012680929201265, '29 CB Glut': 0.15985449538542462, '30 Astro-Epen': 0.554494938245707, '31 OPC-Oligo': 0.4874329545327491, '32 OEC': 0.5548723659070363, '33 Vascular': 0.4314397935673032, '34 Immune': 0.42848025242994414}",0.318753207631499,0.3408927568731359,36515,0.12410105107873869,0.13636363636363635,0.12416251767164542,0.13636363636363635
10,sparse_gap10,0.9643404261962883,0.9612412638084349,0.10203900243788525,0.10579586254806919,0.09580166818930577,0.10196208887790939,0.7292177514682032,0.7410507461792686,16,15,0.6546204944207694,5,"{'01 IT-ET Glut': 0.9096265694999984, '02 NP-CT-L6b Glut': 0.5928906311968019, '03 OB-CR Glut': 0.3564174322368552, '04 DG-IMN Glut': 0.753815307662118, '05 OB-IMN GABA': 0.49037271444211333, '06 CTX-CGE GABA': 0.5057340263401711, '07 CTX-MGE GABA': 0.6078561930210582, '08 CNU-MGE GABA': 0.1394412571821201, '09 CNU-LGE GABA': 0.6807081940644029, '10 LSX GABA': 0.7006751707370746, '11 CNU-HYa GABA': 0.28554722128876303, '12 HY GABA': 0.5745228364343887, '13 CNU-HYa Glut': 0.2900818758604533, '14 HY Glut': 0.8791972660446368, '15 HY Gnrh1 Glut': -0.02748248549646565, '18 TH Glut': 0.9055561825478176, '19 MB Glut': 0.7640896154650426, '20 MB GABA': 0.7872688602700937, '22 MB-HB Sero': 0.4579571332025661, '23 P Glut': 0.6818276102982261, '24 MY Glut': 0.5437890729614804, '26 P GABA': 0.7714775077040776, '27 MY GABA': 0.6467868203903857, '28 CB GABA': 0.7651115048619241, '29 CB Glut': 0.7508666060837716, '30 Astro-Epen': 0.912742227084182, '31 OPC-Oligo': 0.8360663089202673, '32 OEC': 0.7848581275683416, '33 Vascular': 0.8916533668398561, '34 Immune': 0.671940700773405}",0.4893766283673666,0.6902192516847692,32706,1.126462894492538,0.6198209509757062,"[1, 11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 150]","[6, 16, 26, 36, 46, 56, 66, 76, 86, 96, 106, 116, 126, 136, 146]",6,0.503146594068364,0.9210807772668843,0.9392640881599149,"{'01 IT-ET Glut': 0.6090808205738826, '02 NP-CT-L6b Glut': 0.46674241049483406, '03 OB-CR Glut': 0.4482728996686819, '04 DG-IMN Glut': 0.4669333041760305, '05 OB-IMN GABA': 0.4914512402240229, '06 CTX-CGE GABA': 0.3287913705706681, '07 CTX-MGE GABA': 0.4997942702384818, '08 CNU-MGE GABA': 0.25860851328200096, '09 CNU-LGE GABA': 0.35175311466971537, '10 LSX GABA': 0.2894050338338678, '11 CNU-HYa GABA': 0.25541394490894204, '12 HY GABA': 0.3277630997363423, '13 CNU-HYa Glut': 0.23564373757490464, '14 HY Glut': 0.5465018560359881, '15 HY Gnrh1 Glut': -0.012488634208162819, '18 TH Glut': 0.420228662664436, '19 MB Glut': 0.42648898335368646, '20 MB GABA': 0.5386451476762824, '22 MB-HB Sero': 0.49953657251267614, '23 P Glut': 0.42751576146576015, '24 MY Glut': 0.27333276000856654, '26 P GABA': 0.2645117170832543, '27 MY GABA': 0.5707907998486056, '28 CB GABA': 0.4945821292133854, '29 CB Glut': 0.640605080974373, '30 Astro-Epen': 0.6115586738316454, '31 OPC-Oligo': 0.5714936637224244, '32 OEC': 0.7496817404287475, '33 Vascular': 0.5142875115214116, '34 Immune': 0.4819500214585157}",0.36996597318440916,0.45183166779661704,32201,0.9643402335948095,0.9612372814521858,0.1020443810950087,0.10587458385247592,0.09580018737699009,0.10196208887790939,0.7292365909646972,0.7410442940649173,0.6331389637408393,0.9210599255986017,0.939263397116008,"{'01 IT-ET Glut': 0.5821519496295883, '02 NP-CT-L6b Glut': 0.4667424104948322, '03 OB-CR Glut': 0.4482728996686821, '04 DG-IMN Glut': 0.49254690782846355, '05 OB-IMN GABA': 0.4914512402240241, '06 CTX-CGE GABA': 0.32879137057066776, '07 CTX-MGE GABA': 0.416955959546933, '08 CNU-MGE GABA': 0.258608513282001, '09 CNU-LGE GABA': 0.39948460366212046, '10 LSX GABA': 0.2785534866319239, '11 CNU-HYa GABA': 0.2554139449089422, '12 HY GABA': 0.3279191853669102, '13 CNU-HYa Glut': 0.20222156307296915, '14 HY Glut': 0.4621746812245704, '15 HY Gnrh1 Glut': 0.07536684909250449, '18 TH Glut': 0.4202286626644355, '19 MB Glut': 0.3798446564024849, '20 MB GABA': 0.49905605763480243, '22 MB-HB Sero': 0.420033780128915, '23 P Glut': 0.3989727518000218, '24 MY Glut': 0.26774488083249515, '26 P GABA': 0.34592858829036943, '27 MY GABA': 0.5083231639736081, '28 CB GABA': 0.4772344869613102, '29 CB Glut': 0.5830026427785812, '30 Astro-Epen': 0.6115586738316452, '31 OPC-Oligo': 0.5714936637224244, '32 OEC': 0.7440291296066103, '33 Vascular': 0.5142875115214098, '34 Immune': 0.48195002145851495}",0.3598051509764797,0.4370047017656723,32195,0.18568033273915627,0.1800356506238859,0.18556149732620322,0.1800356506238859
