density_gap,density_name,target_slice,target_z,class,n_spots,gene,generated_mean,target_mean,generated_zero_prop,target_zero_prop
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,1700057H15Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,2610028E06Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,2900052N01Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,4921534H16Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,4921539H07Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,4930426D05Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,4930438E09Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,4930452B06Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,4930467D21Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,4930509J09Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,5830418P13Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,6430628N08Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,6530403H02Rik,0.0,0.041666666666666664,1.0,0.9583333333333334
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,9330158H04Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,9630002D21Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,A2m,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.9166666666666666
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,A330076C08Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,A630012P03Rik,0.0,0.041666666666666664,1.0,0.9583333333333334
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,A730046J19Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,A830009L08Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,A830019P07Rik,0.0,0.041666666666666664,1.0,0.9583333333333334
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,A830036E02Rik,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,AW551984,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Abca8a,0.4166666666666667,0.08333333333333333,0.75,0.9166666666666666
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Abcc9,0.0,0.041666666666666664,1.0,0.9583333333333334
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Abhd12b,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Abi3bp,0.0,0.25,1.0,0.8333333333333334
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Acsbg1,1.5,0.4583333333333333,0.5416666666666666,0.9166666666666666
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Acta2,0.4166666666666667,0.0,0.75,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Actn2,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Acvr1c,0.0,0.0,1.0,1.0
3,dense_gap3,137,12.13559388245098,02 NP-CT-L6b Glut,24,Adad1,0.0,0.0,1.0,1.0
