gene,pearson_r,spearman_rho,generated_mean,target_mean,generated_variance,target_variance,generated_zero_prop,target_zero_prop,generated_moran_i,target_moran_i
1700057H15Rik,0.002084566445294231,0.0050532262677001425,0.008539642745220934,0.002977123158884362,0.014655999603633032,0.0029682598965818574,0.994006581009088,0.9970228768411157,0.11694166742400892,0.0014261451207780687
2610028E06Rik,0.05093965572974349,0.039875037538339965,0.006345973049200877,0.004465684738326543,0.010693041067305013,0.004759123783294364,0.9954167972422439,0.9956910059542463,0.07513602780992111,0.002570865388539321
2900052N01Rik,0.07633068138261456,0.07788856403357373,0.08218426825446569,0.05907239109996866,0.1691310484644534,0.06937162465609702,0.9510341585709808,0.9465684738326543,0.3300921018698124,0.025212623059304027
4921534H16Rik,-0.0004294699132942642,0.0001989400019743576,0.013005327483547477,0.009597304920087747,0.024039573459541667,0.012012247739525918,0.9913820119084926,0.9911078031964902,0.15224344571216644,-0.0035336464691127023
4921539H07Rik,0.011470225029949143,0.017770975484155786,0.017040112817298652,0.015943277969288624,0.033280615438897085,0.01749103282148133,0.9890708241930429,0.9848401754935757,0.13804758802597114,0.015719783287940325
4930426D05Rik,0.042158474283106304,0.04093985464960821,0.011203384518959573,0.006345973049200877,0.02071434628750525,0.007245845830692265,0.9925571921027891,0.9940849263553745,0.08864247739971651,0.001770520345634164
4930438E09Rik,-0.0030463202601912864,-0.003390339105561832,0.004857411469758696,0.003212159197743654,0.0078109401824600425,0.0033585319236053316,0.9963569413976809,0.9968661861485427,0.07556550229085607,0.0027908703738576206
4930452B06Rik,0.15557783620923513,0.12312700455657272,0.09518959573801317,0.0732528987778126,0.20811224076932316,0.10141871980896718,0.9460592290817925,0.938146349106863,0.27534084135936127,0.014942473188202339
4930467D21Rik,0.004159662572200499,0.0059903853790592805,0.009166405515512378,0.010968348480100282,0.016211809037485342,0.011239770543144156,0.9936540269507991,0.9892275148856158,0.1452818132609644,0.012869843488897996
4930509J09Rik,0.0008878102375796669,0.003370979209958733,0.00814791601378878,0.00399561266060796,0.01395742844989165,0.003979647740076045,0.9942416170479473,0.996004387339392,0.08523326619593505,0.002543970995670736
5830418P13Rik,0.05943124858385993,0.05825882196894417,0.021231588843622688,0.04571450955813225,0.0422474333613152,0.05216433591918957,0.9867596364775932,0.9581244124099029,0.20331673238205472,0.022295790894861896
6430628N08Rik,-0.00634202157427426,-0.007180572581753189,0.006620181761203384,0.010968348480100282,0.011120385039266698,0.011788187967149633,0.9951817612033845,0.9894625509244751,0.09194275065949117,0.005496405155252774
6530403H02Rik,0.03232373280453909,0.03491147358098265,0.011046693826386712,0.006032591664055155,0.020639487321388865,0.006152890194439213,0.9925963647759323,0.9940457536822312,0.15356246400983198,0.007866740753530879
9330158H04Rik,-0.0038525313772346382,-0.0015875195883156396,0.011869319962394233,0.011869319962394233,0.0215999528381091,0.012198511283738183,0.9920087746787841,0.9883265434033218,0.07084794218002861,0.0007481382607480216
9630002D21Rik,0.016810854897702555,0.012133320165797112,0.004583202757756189,0.0021153243497336258,0.00761766551541483,0.002189195098916091,0.9965919774365403,0.9979238483234096,0.05205490728981836,0.0036177942016245
A2m,0.17813335000250782,0.13362149966967182,0.06863052334691319,0.060051707928549046,0.18331868235268303,0.1991123758909999,0.9669774365402695,0.965057975556252,0.5084958960105519,0.13728782239225548
A330076C08Rik,0.17553582239433235,0.17468550440033181,0.03251331870886869,0.03247414603572548,0.06945369576431004,0.04591346493794039,0.9808053901598245,0.9729316828580382,0.07828930400746371,0.023364641844374184
A630012P03Rik,-0.0026979862939220355,-0.0029471555665199762,0.0048965841429019115,0.0023111877154497022,0.0073796586877920315,0.0023841914730789453,0.9962002507051081,0.9977279849576935,0.0656752337082544,0.011539993834186992
A730046J19Rik,0.00025062362249672,0.002654266847306767,0.007129426512065183,0.005209965528047634,0.012641117376020083,0.005182821787247342,0.9950642431839549,0.9947900344719524,0.20347919166249287,0.0023603012255966793
A830009L08Rik,0.052176044066374425,0.04547039089840961,0.020761516765904105,0.011007521153243497,0.04054357552936937,0.011826499786734997,0.9867988091507365,0.9894625509244751,0.24907828460768566,0.021676219140029766
A830019P07Rik,-0.00074522256266403,0.006312485278751241,0.020604826073331244,0.012221874020683171,0.0402366758651375,0.012620917240104607,0.9869554998433093,0.9880523346913194,0.14456688308534651,0.0009843419596204624
A830036E02Rik,0.5938879796579168,0.5023529212049649,0.29230648699467254,0.19864462550924475,1.51875622822102,0.8443933368859793,0.9156220620495142,0.9180115951112504,0.4912710421383282,0.25090991298342574
AW551984,0.12054987122492439,0.09333598819810918,0.021349106863052334,0.016922594797869006,0.044083544999946454,0.022433776208373262,0.9870730178627389,0.9853494202444375,0.1921991457601488,0.044497110366384075
Abca8a,0.1955245875856823,0.1690037262086858,0.12045596991538703,0.1293481667188969,0.27344867958749225,0.23091869137785642,0.9348950172359762,0.9099811971168913,0.23744018563167388,0.05665079343689269
Abcc9,0.1260528750581702,0.13662760698594684,0.20655750548417423,0.1887731118771545,1.1408579706040316,1.412304229623886,0.9472735819492322,0.9447665308680664,0.14585156553139056,0.005296494927285703
Abhd12b,-0.004394261807596192,-0.004871986352932164,0.007599498589783767,0.004387339392040113,0.012947575104739019,0.004446435991382896,0.9945941711062363,0.9956518332811031,0.10490368972758755,0.0044873175301771255
Abi3bp,0.08889526967021848,0.060523533640622275,0.033296772171733,0.03545126919460984,0.07018559008365019,0.04383095430035341,0.9801786273895331,0.9685051707928549,0.32655108341327094,0.0345946917316717
Acsbg1,0.5686255948422649,0.41885531447014124,1.9721874020683172,1.4520918207458478,13.227133071745616,7.6909044303002,0.5689830774052022,0.5790896270761516,0.18131233133100244,0.0628148712688984
Acta2,0.3398668975366251,0.31343312958238034,0.6150501410216234,0.43885145722344093,11.244519654327013,12.318260228954555,0.9356001253525541,0.9507991225321216,0.8062449148430533,0.35801365486650977
Actn2,0.23801728879847456,0.24134104050095037,0.15770918207458476,0.07752272015042307,0.3843255575433136,0.12259411378954377,0.9209887182701347,0.9410059542463177,0.4501964407872189,0.0847434654363194
Acvr1c,0.10801492457632098,0.11214599733292685,0.028517706048260733,0.02702914446881855,0.05755402342517177,0.030920945248973025,0.9823331244124099,0.9750078345346287,0.4182617223736542,0.038540503132049174
Adad1,0.002252442484520152,0.007363359791696667,0.011595111250391726,0.00473989345032905,0.022115631740437507,0.004874117552983874,0.9925180194296459,0.9953384518959574,0.15419554942754995,0.0086901910856552
Adam12,0.09950823186930957,0.10272680885997687,0.055977749921654656,0.03846756502663742,0.13306987603272716,0.06487875474556334,0.9701112503917267,0.9707380131620181,0.4111819082548054,0.09307959509785729
Adam18,0.04924504526343136,0.05180654392358221,0.017745220933876527,0.010929175806957066,0.035136376328596515,0.012219945156294074,0.9887574428078972,0.9897367596364776,0.1070938080888618,-0.0001870413672206137
Adam33,0.15168032840207843,0.09321275861822566,0.03552961454089627,0.013005327483547477,0.08660195235082552,0.01714518298635056,0.9812754622375431,0.9887574428078972,0.36981382637473514,0.05175418121338629
