gene,pearson_r,spearman_rho,generated_mean,target_mean,generated_variance,target_variance,generated_zero_prop,target_zero_prop,generated_moran_i,target_moran_i
1700057H15Rik,0.013442042182265239,0.008729332968867536,0.005412719891745603,0.005059716420544802,0.008560453595926304,0.005269451337754527,0.9959404600811907,0.9950579514031888,0.054024142997980376,-0.0029974806229559905
2610028E06Rik,-0.0035915551746195777,-0.003989695801941059,0.008001412013884802,0.002824027769606401,0.014056116253816064,0.0028160526367635094,0.994410778372654,0.9971759722303936,0.027044079829569388,-0.0029991936594092146
2900052N01Rik,0.0032639179928452403,0.01134026440343497,0.017650173560040006,0.007060069424016002,0.03545948978831488,0.00712789266747997,0.9889980584809084,0.9929987644878508,0.18455048670250765,0.0010960386240702728
4921534H16Rik,0.03597321282265699,0.02380749032006327,0.008825086780020003,0.006059892922280402,0.016160277518561923,0.00614083844378233,0.9940577749014532,0.9939989409895864,0.09172212140835687,-0.004063899554848939
4921539H07Rik,0.001914496854771015,0.0030707346006791383,0.017591339648173207,0.008177913749485203,0.03434371885892783,0.008464038947387004,0.9888803906571748,0.9919985879861152,0.05000069543607304,0.007054919672639307
4930426D05Rik,0.04536768667971236,0.041400246933001685,0.008883920691886803,0.0042360416544096014,0.015276726950375075,0.004453433252978631,0.9937047714302524,0.995881626169324,0.10972819391301296,0.004694069378332345
4930438E09Rik,-0.0026859693621891587,-0.0029026966227553956,0.004118373830676002,0.002588692122139201,0.006101765831138005,0.0025819907952359237,0.996764134847326,0.9974113078778608,0.015056357693984338,0.005196630970836624
4930452B06Rik,0.044035046259936324,0.04915697201516641,0.03141730893687121,0.02347473083485321,0.06290658098651002,0.02633603473535752,0.9807024769076896,0.9781137847855504,0.09137765472744597,0.010407230858552692
4930467D21Rik,0.07723805881650844,0.04222687651106061,0.007530740718950403,0.004765546861210802,0.012886748554919948,0.004860504248055444,0.9946461140201212,0.995293287050656,0.09441431307091175,-0.0007337563530103841
4930509J09Rik,0.005384067090062131,0.01018286743083726,0.007060069424016002,0.0034123668882744015,0.011834605616821679,0.0035183904642261824,0.9949402835794552,0.9966464670235924,0.015061496646862522,-0.0033761094102142753
5830418P13Rik,0.012576807763231937,0.008992038948082003,0.013472965817497205,0.006001059010413603,0.02529356303040496,0.005965046301165701,0.99117491321998,0.9939989409895864,0.13125026799827957,0.011768864594266463
6430628N08Rik,-0.0030013362004472476,-0.0032651895150347097,0.004353709478143202,0.003059363417073601,0.006217439871660728,0.0031676715362909656,0.996469965287992,0.9969994704947932,0.025339521190771354,0.00940845821485763
6530403H02Rik,-0.00384336008107655,-0.004255783586571438,0.007707242454550803,0.0033535329764076013,0.013531232054977574,0.003342286792984804,0.9946461140201212,0.9966464670235924,0.3736745399975117,0.002306040583551469
9330158H04Rik,-0.003917753655698244,-0.004313922597672352,0.0067070659528152025,0.0038242042713420017,0.011251126344730192,0.0038095797330333367,0.9951756192269224,0.996175795728658,0.09195732582501169,0.0013385366503727665
9630002D21Rik,-0.0014603567961540339,-0.0015137860033621103,0.0019415190916044008,0.0012943460610696006,0.002290753066422136,0.0012926707293444526,0.998234982643996,0.9987056539389304,0.058140700379116506,-0.0013254786450657807
A2m,0.48819266602956574,0.4150378850878324,0.4670824263105254,0.13690651291404365,3.304514480056523,0.45092772515403085,0.8841560275342708,0.9310466552921104,0.48316194950212776,0.24058967377026796
A330076C08Rik,0.059613386557188223,0.0727926117141886,0.039889392245690415,0.011001941519091604,0.0890130606611415,0.011586905744298225,0.9774077778431488,0.9893510619521092,0.133365468052471,0.021544163877955262
A630012P03Rik,-0.00401603652662257,-0.004340276903087013,0.006295228569747602,0.0038242042713420017,0.00943262990780944,0.0038095797330333294,0.9951167853150557,0.996175795728658,0.05201264702386645,0.0012302604081488606
A730046J19Rik,-0.0026324847693325864,-0.002876441346468201,0.005177384244278402,0.0021180208272048007,0.008209942353739102,0.0021135348149793113,0.9961169618167912,0.9978819791727952,0.08197383798877453,-0.002417310300102739
A830009L08Rik,-0.0036599337906174172,-0.004076009759424425,0.007001235512149203,0.0033535329764076013,0.011894266810263824,0.003459954616718263,0.994999117491322,0.9967053009354592,0.07825557854585896,-0.0006064250037183308
A830019P07Rik,-0.008831610936920049,-0.009917077557468498,0.02112137436018121,0.007177737247749603,0.0406787919400303,0.0072438851594814856,0.986468200270636,0.9928810966641172,0.10123230992361598,-0.0016101666838693734
A830036E02Rik,0.0260571432699505,0.027439590781322565,0.012237453668294405,0.006354062481614403,0.023030806003235562,0.007137363137725497,0.9919985879861152,0.9940577749014532,0.08791787566966865,0.0106024820923739
AW551984,0.06365485921487585,0.06533598386857527,0.019944696122845208,0.004883214684944402,0.04696350814934139,0.004859368899287964,0.9889392245690416,0.9951167853150557,0.09719986923815278,-0.0007038915980809041
Abca8a,0.07798275261320299,0.086892953455432,0.2178619756427605,0.02676942989939401,0.5835298643404635,0.030171201352927196,0.9018062010943108,0.9752309231040772,0.3569906983454129,0.011928644088540696
Abcc9,0.10203923696435968,0.09535516879365732,0.2908748602694593,0.13437665470377125,2.32911188391056,1.0111833688688283,0.9384008942754604,0.959992939930576,0.10927071389666802,0.015341525891390984
Abhd12b,-0.003644001144776034,-0.00405767797130943,0.007295405071483203,0.0031181973289404015,0.012537234204338181,0.003108474174359213,0.9947637818438548,0.9968818026710596,0.04559382128347038,-0.003167296191373782
Abi3bp,0.2563579814146887,0.21318182695682394,0.07477790198270283,0.016591163146437608,0.19026635797964256,0.02278762675721481,0.9625816320527152,0.9859386950638348,0.20964959728145127,0.030679649010886014
Acsbg1,0.5442890697863839,0.37175683544541566,2.423368829793493,1.549038065540978,23.670850026522682,10.14851896054282,0.5590986644702006,0.5833382361593222,0.24366060316513136,0.14455945196469147
Acta2,0.40754313040733037,0.24330545879460416,0.44907924927928455,0.2007413072895217,7.413377542522281,3.108846894130921,0.9429899394010708,0.9651114902629876,0.7166611634630475,0.3098252365222417
Actn2,0.0732783206291389,0.0813437652410415,0.02588692122139201,0.02000353003471201,0.05557508705433827,0.02807547212967737,0.9847620168264988,0.9832911690298288,0.2227042679122014,0.024152335008606782
Acvr1c,-0.007293464903422079,-0.006151833930657085,0.04200741307289522,0.005118550332411602,0.08801592675566,0.005210018598640082,0.9750544213684768,0.9949402835794552,0.21017738738184819,0.006456439298306644
Adad1,0.009267636658575424,0.006577340777695219,0.014355474495499206,0.007177737247749603,0.027681194576872285,0.007361552983215991,0.9907630758369124,0.992939930575984,0.13704423460581555,0.0006971552991783813
Adam12,0.09145928515773333,0.0932717066250901,0.07454256633523564,0.020238865682179207,0.17853471603537427,0.025241973889837815,0.9606401129611107,0.9818791551450256,0.34965140588904364,0.022129953611673
Adam18,0.030213612228772117,0.031699406880811645,0.009707595458022003,0.0037653703594752014,0.018791448299666204,0.003868860169264658,0.9936459375183856,0.9962934635523916,0.048098675486791385,-0.0013878127760496852
Adam33,0.07023024808228148,0.027507961467600126,0.016414661410837205,0.008354415485085604,0.03614875033631677,0.011814653938989431,0.9903512384538448,0.9928222627522504,0.1457939580157521,-0.0005811699377620844
Adamts12,0.0157023089683143,0.008408569638941724,0.017061834441372006,0.005177384244278402,0.033361891393304824,0.0051505789366653,0.9891745602165088,0.9948226157557216,0.137560077015806,-0.0028766955736329093
Adamts16,0.45187632019243656,0.5364309875173378,0.3225863387656645,0.15085015002647525,1.1691627407511833,0.3209519453626703,0.8881567335412132,0.9096311113725951,0.37429343481374566,0.13386002855396814
