gene,pearson_r,spearman_rho,generated_mean,target_mean,generated_variance,target_variance,generated_zero_prop,target_zero_prop,generated_moran_i,target_moran_i
1700057H15Rik,0.0391594733829101,0.024871853656054127,0.0027424231769917727,0.010407144363968779,0.0038599989801039597,0.010791065511150425,0.9977498066240067,0.9898389705365305,0.20293312871377062,0.004766724814964186
2610028E06Rik,0.0071309375317198005,0.0011689812678487318,0.0036214049644891356,0.01142676323746572,0.005506891051563653,0.014671482383373395,0.9971872582800084,0.9896983334505309,0.10295663352266578,0.007448623411341532
2900052N01Rik,0.06734712526406658,0.0783639548832621,0.05628999367133113,0.15093875254904718,0.11401728852167414,0.2185155732828256,0.965684551016103,0.8801420434568595,0.3238689983235228,0.05898022135807696
4921534H16Rik,0.009824274477115246,0.013432580269122031,0.008262428802475213,0.018845369523943462,0.014311874313741204,0.018701177200462694,0.9942338794740173,0.9812601082905562,0.1176733690328956,-0.0009348944197254118
4921539H07Rik,0.020675850175440966,0.02814708205624257,0.025842064552422474,0.04859011321285423,0.05477835885509084,0.0773802286597167,0.9845299205400464,0.961324801350116,0.461057764733996,0.1322224315346491
4930426D05Rik,0.05014699599877505,0.060381850120042845,0.006680261584979959,0.025982701638422052,0.01197984495810173,0.03465996707294199,0.9953941354335138,0.9777793404120667,0.07801111071686806,0.023570894340661376
4930438E09Rik,0.01104577973627266,0.00954680352680199,0.0029533788059911397,0.01033682582096899,0.0043510272196127416,0.010581568567922308,0.997644328809507,0.9898389705365305,0.13554989101512982,0.0008805755310517005
4930452B06Rik,0.23633315844683833,0.1780496895402126,0.07872160888826384,0.17249138597848251,0.16407926016796137,0.40221353141108224,0.9534491245341397,0.884009563321848,0.3187460973058014,0.1549244614478136
4930467D21Rik,-0.0009959426539874017,0.004349853776035647,0.01065325926446804,0.018317980451445046,0.01961085937849121,0.01924816581762141,0.9928275086140215,0.9823148864355531,0.08220873815323994,0.007701789802120805
4930509J09Rik,0.010698659628670792,0.010922844917592536,0.0034807678784895576,0.014063708599957809,0.004945341536459741,0.014850380302377729,0.9971872582800084,0.986358202658041,0.1089705149239129,0.006621895825041485
5830418P13Rik,0.17087937330941314,0.1451565156783177,0.04626960129386119,0.037690739047886924,0.09356266101886766,0.05335755318687251,0.9717671049855847,0.9686379298220941,0.3838608892578461,0.11742490691729833
6430628N08Rik,0.01243416014914603,0.007977114400788297,0.010231348006469305,0.011532241051965403,0.018564892684412117,0.013719760387280944,0.9931087827860207,0.989346740735532,0.12404305245443514,0.03152458882666535
